Team 1,Team 2,Team 1 Captain,Team 2 Captain,Team 1 Wicket Keeper,Team 2 Wicket Keeper
Deccan Chargers,Kolkata Knight Riders,Adam Gilchrist,Sourav Ganguly,Adam Gilchrist,Wriddhiman Saha
Mumbai Indians,Rajasthan Royals,Sachin Tendulkar,Shane Warne,Aditya Tare,Naman Ojha
Kings XI Punjab,Delhi Capitals,Kumar Sangakkara,Gautam Gambhir,Kumar Sangakkara,Dinesh Karthik
Kolkata Knight Riders,Royal Challengers Bangalore,Sourav Ganguly,Anil Kumble,Wriddhiman Saha,Shreevats Goswami
Chennai Super Kings,Deccan Chargers,MS Dhoni,Adam Gilchrist,MS Dhoni,Adam Gilchrist
Rajasthan Royals,Delhi Capitals,Shane Warne,Gautam Gambhir,Naman Ojha,Dinesh Karthik
Royal Challengers Bangalore,Kings XI Punjab,Anil Kumble,Kumar Sangakkara,Mark Boucher,Kumar Sangakkara
Kolkata Knight Riders,Chennai Super Kings,Sourav Ganguly,MS Dhoni,Wriddhiman Saha,MS Dhoni
Delhi Capitals,Mumbai Indians,Gautam Gambhir,Sachin Tendulkar,Dinesh Karthik,Aditya Tare
Royal Challengers Bangalore,Rajasthan Royals,Anil Kumble,Shane Warne,Mark Boucher,Naman Ojha
Delhi Capitals,Chennai Super Kings,Dinesh Karthik,Suresh Raina,Dinesh Karthik,Parthiv Patel
Deccan Chargers,Kings XI Punjab,Adam Gilchrist,Kumar Sangakkara,Adam Gilchrist,Kumar Sangakkara
Rajasthan Royals,Kolkata Knight Riders,Shane Warne,Sourav Ganguly,Naman Ojha,Wriddhiman Saha
Mumbai Indians,Royal Challengers Bangalore,Sachin Tendulkar,Anil Kumble,Aditya Tare,Mark Boucher
Deccan Chargers,Delhi Capitals,Adam Gilchrist,Dinesh Karthik,Adam Gilchrist,Dinesh Karthik
Chennai Super Kings,Kings XI Punjab,Suresh Raina,Kumar Sangakkara,Parthiv Patel,Kumar Sangakkara
Mumbai Indians,Kolkata Knight Riders,Sachin Tendulkar,Sourav Ganguly,Aditya Tare,Wriddhiman Saha
Royal Challengers Bangalore,Chennai Super Kings,Anil Kumble,Suresh Raina,Mark Boucher,Parthiv Patel
Kings XI Punjab,Rajasthan Royals,Kumar Sangakkara,Shane Warne,Kumar Sangakkara,Naman Ojha
Royal Challengers Bangalore,Delhi Capitals,Anil Kumble,Dinesh Karthik,Mark Boucher,Dinesh Karthik
Mumbai Indians,Chennai Super Kings,Sachin Tendulkar,MS Dhoni,Aditya Tare,MS Dhoni
Rajasthan Royals,Deccan Chargers,Shane Warne,Adam Gilchrist,Naman Ojha,Adam Gilchrist
Kings XI Punjab,Kolkata Knight Riders,Kumar Sangakkara,Sourav Ganguly,Kumar Sangakkara,Wriddhiman Saha
Rajasthan Royals,Chennai Super Kings,Shane Warne,MS Dhoni,Naman Ojha,MS Dhoni
Deccan Chargers,Mumbai Indians,Adam Gilchrist,Sachin Tendulkar,Adam Gilchrist,Ambati Rayudu
Delhi Capitals,Kolkata Knight Riders,Gautam Gambhir,Sourav Ganguly,Dinesh Karthik,Wriddhiman Saha
Mumbai Indians,Kings XI Punjab,Sachin Tendulkar,Mahela Jayawardene,Ambati Rayudu,Manvinder Bisla
Chennai Super Kings,Royal Challengers Bangalore,MS Dhoni,Anil Kumble,MS Dhoni,Robin Uthappa
Delhi Capitals,Rajasthan Royals,Gautam Gambhir,Shane Warne,Dinesh Karthik,Naman Ojha
Kolkata Knight Riders,Deccan Chargers,Sourav Ganguly,Adam Gilchrist,Wriddhiman Saha,Adam Gilchrist
Kings XI Punjab,Royal Challengers Bangalore,Kumar Sangakkara,Anil Kumble,Kumar Sangakkara,Robin Uthappa
Chennai Super Kings,Rajasthan Royals,MS Dhoni,Shane Warne,MS Dhoni,Naman Ojha
Mumbai Indians,Deccan Chargers,Sachin Tendulkar,Adam Gilchrist,Ambati Rayudu,Adam Gilchrist
Kolkata Knight Riders,Kings XI Punjab,Sourav Ganguly,Kumar Sangakkara,Wriddhiman Saha,Manvinder Bisla
Delhi Capitals,Royal Challengers Bangalore,Gautam Gambhir,Anil Kumble,Dinesh Karthik,Robin Uthappa
Deccan Chargers,Rajasthan Royals,Adam Gilchrist,Shane Warne,Adam Gilchrist,Naman Ojha
Chennai Super Kings,Mumbai Indians,MS Dhoni,Sachin Tendulkar,MS Dhoni,Ambati Rayudu
Rajasthan Royals,Kings XI Punjab,Shane Warne,Kumar Sangakkara,Naman Ojha,Manvinder Bisla
Kolkata Knight Riders,Delhi Capitals,Sourav Ganguly,Gautam Gambhir,Wriddhiman Saha,Dinesh Karthik
Royal Challengers Bangalore,Deccan Chargers,Anil Kumble,Adam Gilchrist,Robin Uthappa,Adam Gilchrist
Kings XI Punjab,Mumbai Indians,Kumar Sangakkara,Sachin Tendulkar,Kumar Sangakkara,Ambati Rayudu
Deccan Chargers,Chennai Super Kings,Adam Gilchrist,MS Dhoni,Adam Gilchrist,MS Dhoni
Royal Challengers Bangalore,Kolkata Knight Riders,Anil Kumble,Sourav Ganguly,Robin Uthappa,Wriddhiman Saha
Delhi Capitals,Kings XI Punjab,Gautam Gambhir,Kumar Sangakkara,Dinesh Karthik,Kumar Sangakkara
Rajasthan Royals,Mumbai Indians,Shane Warne,Sachin Tendulkar,Naman Ojha,Ambati Rayudu
Deccan Chargers,Royal Challengers Bangalore,Adam Gilchrist,Anil Kumble,Adam Gilchrist,Robin Uthappa
Mumbai Indians,Delhi Capitals,Sachin Tendulkar,Gautam Gambhir,Chandan Madan,Dinesh Karthik
Chennai Super Kings,Kolkata Knight Riders,MS Dhoni,Sourav Ganguly,MS Dhoni,Wriddhiman Saha
Rajasthan Royals,Royal Challengers Bangalore,Shane Warne,Anil Kumble,Naman Ojha,Robin Uthappa
Chennai Super Kings,Delhi Capitals,MS Dhoni,Gautam Gambhir,MS Dhoni,Dinesh Karthik
Kings XI Punjab,Deccan Chargers,Kumar Sangakkara,Adam Gilchrist,Kumar Sangakkara,Adam Gilchrist
Royal Challengers Bangalore,Mumbai Indians,Anil Kumble,Sachin Tendulkar,Robin Uthappa,Aditya Tare
